fitness,lr0,cls,mosaic,degrees
0.01044,0.01,0.5,1.0,0.0
0.01296,0.01,0.5,0.97375,0.0
0.03074,0.00319,0.5,0.98468,0.00258
0.02278,1e-05,0.5,0.82428,0.0
0.02235,1e-05,0.5,0.89671,0.00231
0.03211,0.00107,0.5,0.84206,0.0028
0.03038,0.00083,0.56791,1.0,0.0015
0.03317,0.00102,0.51771,1.0,0.00251
0.03588,0.00265,0.73912,1.0,0.0015
0.03724,0.00151,0.71393,0.78449,0.00131
0.02751,0.00239,0.61858,0.62393,0.00298
0.0331,0.00125,0.56926,0.68479,0.00276
0.03425,0.00093,0.65219,0.9948,0.00352
0.03591,0.00146,0.64437,0.73682,0.00277
0.03405,0.00118,0.56269,0.689,0.00388
0.0323,0.0028,0.51451,1.0,0.00084
0.04179,0.00088,0.73194,0.89071,0.00107
0.03357,0.00249,0.93903,0.83081,0.00343
0.03617,0.00121,0.76381,0.86177,0.00138
0.03976,0.00108,0.5238,0.89079,0.00356
